STASIUN 3;;;;;;;;;
13;1,96;0,23;0,47;A < 0.5 T;Sedikit;Ada;Ada;1;ENTOMOBRYOMORPHA
14;1,48;0,26;0,2;A > 0.5 T;Tidak ada;Ada;Tidak ada;3;PODUROMORPHA
15;0,27;0,25;0,1;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
16;1,27;0,41;0,2;A > 0.5 T;Sedikit;Ada;Ada;3;PODUROMORPHA
17;2,17;0,52;0,45;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
18;1,57;0,48;0,23;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
19;1,02;0,16;0,23;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
20;2,96;0,89;0,44;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
21;3,5;1,05;0,63;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
22;3,37;1,09;0,76;A > 0.5 T;Tidak ada;Ada;Ada;1;ENTOMOBRYOMORPHA
;;;;;;;;;
PLOT 2 TITIK 4;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;2,47;0,46;0,43;A > 0.5 T;Tidak ada;Ada;Tidak ada;3;PODUROMORPHA
2;0,6;0,24;0,16;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
3;2,22;0,92;0,39;A > 0.5 T;Tidak ada;Ada;Ada;1;ENTOMOBRYOMORPHA
4;1,97;1,1;0,41;A > 0.5 T;Sedikit;Ada;Ada;1;ENTOMOBRYOMORPHA
5;2,03;0,5;0,33;A > 0.5 T;Sedikit;Ada;Ada;1;ENTOMOBRYOMORPHA
6;0,76;0,41;0,19;A > 0.5 T;Sedikit;Ada;Ada;8;SYMPHYPLEONA
7;0,74;0,31;0,18;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
8;2,78;0,52;0,42;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
9;0,71;0,17;0,15;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
10;0,99;0,18;0,14;A > 0.5 T;Tidak ada;Ada;Tidak ada;3;PODUROMORPHA
11;0,8;0,09;0,16;A < 0.5 T;Tidak ada;Ada;Tidak ada;2;PODUROMORPHA
12;1,41;0,31;0,24;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
13;1,4;0,22;0,21;A > 0.5 T;Tidak ada;Ada;Tidak ada;3;PODUROMORPHA
14;1,57;0,91;0,36;A > 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
15;1,27;0,26;0,22;A > 0.5 T;Tidak ada;Ada;Tidak ada;3;PODUROMORPHA
16;0,84;0,22;0,23;A < 0.5 T;Tidak ada;Ada;Tidak ada;2;PODUROMORPHA
17;1,84;0,33;0,36;A < 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
18;0,72;0,55;0,26;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
19;1,09;0,11;0,12;A < 0.5 T;Tidak ada;Ada;Tidak ada;3;PODUROMORPHA
20;0,63;0,11;0,12;A < 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
21;0,77;0,22;0,16;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
22;0,81;0,09;0,16;A < 0.5 T;Banyak;Ada;Ada;6;ENTOMOBRYOMORPHA
23;0,45;0,09;0,08;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
24;2,37;0,88;0,41;A > 0.5 T;Sedikit;Ada;Ada;4;ENTOMOBRYOMORPHA
25;1,23;0,38;0,21;A > 0.5 T;Banyak;Ada;Ada;5;ENTOMOBRYOMORPHA
26;2,88;0,47;0,23;A > 0.5 T;Tidak ada;Ada;Ada;6;ENTOMOBRYOMORPHA
27;2,55;0,39;0,43;A < 0.5 T;Tidak ada;Ada;Ada;6;ENTOMOBRYOMORPHA
28;1,08;0,19;0,15;A > 0.5 T;Tidak ada;Ada;Tidak ada;2;PODUROMORPHA
29;1,35;0,18;0,21;A < 0.5 T;Tidak ada;Ada;Tidak ada;2;PODUROMORPHA
30;2,84;0,64;0,48;A > 0.5 T;Sedikit;Ada;Ada;4;ENTOMOBRYOMORPHA
;;;;;;;;;
PLOT 2 TITIK 5;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;0,61;0,1;0,09;A > 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
2;0,58;0,1;0,11;A < 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
3;0,9;0,15;0,16;A < 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
4;1,23;0,14;0,15;A < 0.5 T;Tidak ada;Ada;Tidak ada;2;PODUROMORPHA
5;0,86;0,18;0,17;A > 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
6;1,28;0,16;0,21;A < 0.5 T;Tidak ada;Ada;Tidak ada;2;PODUROMORPHA
7;2,02;0,53;0,4;A > 0.5 T;Tidak ada;Ada;Ada;6;ENTOMOBRYOMORPHA
8;1,71;0,36;0,3;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
9;0,71;0,48;0,27;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
10;0,89;0,18;0,23;A < 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
11;2,3;0,56;0,31;A > 0.5 T;Sedikit;Ada;Ada;4;PODUROMORPHA
12;2,01;0,44;0,28;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
13;2,48;0,61;0,34;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
14;0,78;0,55;0,3;A > 0.5 T;Sedikit;Ada;Ada;8;SYMPHYPLEONA
15;0,98;0,67;0,32;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
16;0,93;0,68;0,27;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
17;0,74;0,58;0,23;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
18;0,57;0,29;0,17;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
19;1,38;0,15;0,29;A < 0.5 T;Tidak ada;Ada;Tidak ada;2;PODUROMORPHA
20;1,3;0,13;0,17;A < 0.5 T;Tidak ada;Ada;Tidak ada;2;PODUROMORPHA
21;1,54;0,21;0,19;A > 0.5 T;Tidak ada;Ada;Tidak ada;2;PODUROMORPHA
22;0,73;0,2;0,16;A > 0.5 T;Banyak;Ada;Ada;4;PODUROMORPHA
23;0,97;0,19;0,18;A > 0.5 T;Tidak ada;Ada;Tidak ada;2;PODUROMORPHA
24;1,1;0,13;0,21;A < 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
25;0,78;0,08;0,16;A < 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
26;0,69;0,25;0,14;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
27;0,73;0,12;0,09;A > 0.5 T;Banyak;Ada;Ada;5;PODUROMORPHA
28;0,8;0,28;0,15;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
29;0,56;0,67;0,17;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
;;;;;;;;;
PLOT 3 TITIK 1;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;2,65;0,66;0,4;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
2;2,52;1,01;0,45;A > 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
3;0,67;0,19;0,14;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
4;2,36;0,64;0,35;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
5;1,67;0,2;0,21;A < 0.5 T;Tidak ada;Ada;Tidak ada;3;PODUROMORPHA
6;1,76;0,18;0,26;A < 0.5 T;Tidak ada;Ada;Tidak ada;3;PODUROMORPHA
7;2,55;0,26;0,51;A < 0.5 T;Sedikit;Ada;Ada;6;ENTOMOBRYOMORPHA
8;0,74;0,22;0,18;A > 0.5 T;Banyak;Ada;Ada;6;ENTOMOBRYOMORPHA
9;1,07;0,71;0,32;A > 0.5 T;Banyak;Ada;Ada;4;SYMPHYPLEONA
10;0,62;0,2;0,16;A > 0.5 T;Banyak;Ada;Ada;6;ENTOMOBRYOMORPHA
11;0,72;0,2;0,16;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
12;1,04;0,32;0,19;A > 0.5 T;Banyak;Ada;Ada;6;ENTOMOBRYOMORPHA
13;2,97;0,62;0,45;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
14;2,72;0,54;0,41;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
15;2,72;0,91;0,53;A > 0.5 T;Sedikit;Ada;Ada;0;ENTOMOBRYOMORPHA
16;0,85;0,19;0,2;A < 0.5 T;Sedikit;Ada;Ada;2;PODUROMORPHA
17;1,79;0,44;0,35;A > 0.5 T;Banyak;Ada;Ada;2;PODUROMORPHA
18;0,98;0,29;0,25;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
19;0,77;0,22;0,16;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
20;0,35;0,25;0,11;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
21;1,04;0,76;0,32;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
22;0,9;0,35;0,17;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
23;2,2;0,31;0,53;A < 0.5 T;Sedikit;Ada;Ada;4;ENTOMOBRYOMORPHA
24;0,98;0,31;0,19;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
25;2,14;0,57;0,37;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
26;0,99;0,26;0,18;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
27;0,87;0,74;0,2;A > 0.5 T;Sedikit;Ada;Ada;1;SYMPHYPLEONA
28;0,97;0,25;0,2;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
29;1,68;0,3;0,31;A < 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
30;1,87;0,58;0,34;A > 0.5 T;Sedikit;Ada;Ada;1;ENTOMOBRYOMORPHA
;;;;;;;;;
PLOT 3 TITIK 2;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;0,88;0,1;0,16;A < 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
2;1,43;0,55;0,26;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
3;0,97;0,26;0,19;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
4;0,9;0,24;0,17;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
5;1,31;0,18;0,2;A < 0.5 T;Tidak ada;Ada;Tidak ada;3;PODUROMORPHA
6;0,85;0,11;0,16;A < 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
7;0,96;0,25;0,17;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
8;2,23;0,6;0,31;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
9;0,85;0,2;0,16;A > 0.5 T;Banyak;Ada;Ada;5;PODUROMORPHA
10;1,41;0,14;0,23;A < 0.5 T;Tidak ada;Ada;Tidak ada;3;PODUROMORPHA
11;0,94;0,28;0,17;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
12;1,07;0,14;0,16;A < 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
13;0,89;0,13;0,17;A < 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
14;2,62;1,06;0,44;A > 0.5 T;Sedikit;Ada;Ada;2;ENTOMOBRYOMORPHA
15;0,93;0,11;0,14;A < 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
16;0,8;0,18;0,19;A < 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
17;1,75;0,27;0,31;A < 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
18;0,78;0,22;0,19;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
19;0,97;0,31;0,16;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
20;1,08;0,28;0,24;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
21;0,8;0,27;0,17;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
22;0,71;0,23;0,14;A > 0.5 T;Sedikit;Ada;Ada;4;ENTOMOBRYOMORPHA
23;0,71;0,25;0,13;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
24;1,38;0,62;0,27;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
25;0,97;0,33;0,19;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
26;0,67;0,27;0,16;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
27;0,79;0,11;0,17;A < 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
28;0,74;0,21;0,15;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
29;0,76;0,14;0,15;A < 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
30;0,58;0,1;0,11;A < 0.5 T;Banyak;Ada;Ada;6;PODUROMORPHA
31;0,81;0,29;0,15;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
32;0,84;0,26;0,17;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
33;0,81;0,12;0,13;A < 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
34;0,8;0,24;0,17;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
35;0,81;0,23;0,15;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
36;0,84;0,21;0,16;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
37;0,9;0,13;0,16;A < 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
38;0,66;0,21;0,13;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
;;;;;;;;;
PLOT 3 TITIK 3;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;1,45;0,36;0,27;A > 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
2;0,74;0,29;0,18;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
3;1,44;0,31;0,23;A > 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
4;1;0,12;0,2;A < 0.5 T;Banyak ;Ada;Ada;4;ENTOMOBRYOMORPHA
5;0,99;0,19;0,21;A < 0.5 T;Banyak ;Ada;Ada;4;ENTOMOBRYOMORPHA
6;0,77;0,19;0,18;A > 0.5 T;Banyak ;Ada;Ada;8;ENTOMOBRYOMORPHA
7;1,06;0,35;0,2;A > 0.5 T;Banyak ;Ada;Ada;4;ENTOMOBRYOMORPHA
8;1,08;0,21;0,16;A > 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
9;1,47;0,36;0,26;A > 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
10;0,83;0,27;0,16;A > 0.5 T;Banyak ;Ada;Ada;4;ENTOMOBRYOMORPHA
11;0,93;0,25;0,18;A > 0.5 T;Banyak ;Ada;Ada;0;ENTOMOBRYOMORPHA
12;3,37;2,83;0,63;A > 0.5 T;Tidak ada;Ada;Ada;6;ENTOMOBRYOMORPHA
13;0,81;0,17;0,14;A > 0.5 T;Banyak ;Ada;Ada;4;PODUROMORPHA
14;0,81;0,23;0,15;A > 0.5 T;Banyak ;Ada;Ada;4;PODUROMORPHA
15;2,58;0,59;0,33;A > 0.5 T;Banyak ;Ada;Ada;8;PODUROMORPHA
16;1,12;0,15;0,19;A < 0.5 T;Banyak ;Ada;Ada;4;PODUROMORPHA
17;0,91;0,19;0,17;A > 0.5 T;Banyak ;Ada;Ada;8;PODUROMORPHA
18;1,05;0,28;0,18;A > 0.5 T;Banyak ;Ada;Ada;4;ENTOMOBRYOMORPHA
19;0,85;0,21;0,16;A > 0.5 T;Banyak ;Ada;Ada;8;PODUROMORPHA
20;3,59;1,65;0,63;A > 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
21;0,8;0,25;0,17;A > 0.5 T;Banyak ;Ada;Ada;4;ENTOMOBRYOMORPHA
22;0,8;0,15;0,17;A < 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
23;2,45;0,93;0,43;A > 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
24;0,89;0,18;0,16;A > 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
25;0,93;0,28;0,2;A > 0.5 T;Banyak ;Ada;Ada;4;ENTOMOBRYOMORPHA
26;0,69;0,1;0,14;A < 0.5 T;Banyak ;Ada;Ada;4;ENTOMOBRYOMORPHA
27;0,74;0,2;0,14;A > 0.5 T;Banyak ;Ada;Ada;4;ENTOMOBRYOMORPHA
28;0,69;0,17;0,14;A > 0.5 T;Sedikit;Ada;Ada;4;ENTOMOBRYOMORPHA
29;3,4;0,79;0,22;A > 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
;;;;;;;;;
PLOT 3 TITIK 4;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;2,56;0,57;0,39;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
2;1,42;0,4;0,23;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
3;0,87;0,17;0,14;A > 0.5 T;Sedikit;Ada;Tidak ada;0;PODUROMORPHA
4;0,81;0,3;0,16;A > 0.5 T;Banyak;Ada;Ada;6;ENTOMOBRYOMORPHA
5;0,84;0,2;0,18;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
6;1,09;0,37;0,19;A > 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
7;0,85;0,32;0,16;A > 0.5 T;Banyak;Ada;Ada;6;ENTOMOBRYOMORPHA
8;2,09;0,39;0,26;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
9;1,34;0,38;0,18;A > 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
10;0,85;0,25;0,15;A > 0.5 T;Sedikit;Ada;Ada;4;ENTOMOBRYOMORPHA
11;0,78;0,2;0,15;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
12;0,88;0,21;0,18;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
13;0,83;0,33;0,18;A > 0.5 T;Sedikit;Ada;Ada;4;ENTOMOBRYOMORPHA
14;0,9;0,2;0,15;A > 0.5 T;Sedikit;Ada;Ada;5;PODUROMORPHA
15;0,93;0,26;0,18;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
16;1,27;0,35;0,25;A > 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
17;1,82;0,36;0,29;A > 0.5 T;Tidak ada;Ada;Tidak ada;3;PODUROMORPHA
18;2,17;0,67;0,39;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
19;3,26;1,19;0,57;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
20;2,67;0,61;0,38;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
21;0,8;0,24;0,18;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
22;0,83;0,21;0,16;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
23;0,94;0,22;0,16;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
24;1,97;0,42;0,44;A < 0.5 T;Tidak ada;Ada;Ada;0;ENTOMOBRYOMORPHA
25;0,78;0,12;0,16;A < 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
26;0,93;0,23;0,15;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
27;0,89;0,11;0,15;A < 0.5 T;Tidak ada;Ada;Tidak ada;2;PODUROMORPHA
28;0,87;0,15;0,16;A < 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
29;0,97;0,14;0,19;A < 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
30;0,85;0,1;0,14;A < 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
31;0,93;0,17;0,16;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
;;;;;;;;;
PLOT 3 TITIK 5;;;;;;;;;
INDIVIDU;Ukuran Tubuh (mm);Panjang Antenna (mm);Panjang Kepala (mm);;Pigmentasi;Setae/Sisik;Furca;Ocelli;ORDO
1;0,54;0,09;0,08;A > 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
2;0,75;0,09;0,15;A < 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
3;0,74;0,19;0,16;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
4;0,83;0,11;0,19;A < 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
5;3,53;0,54;0,79;A < 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
6;3,88;0,55;0,94;A < 0.5 T;Sedikit;Ada;Ada;8;ENTOMOBRYOMORPHA
7;2,19;0,89;0,38;A > 0.5 T;Sedikit;Ada;Ada;1;ENTOMOBRYOMORPHA
8;0,85;0,28;0,22;A > 0.5 T;Banyak;Ada;Ada;6;ENTOMOBRYOMORPHA
9;1,03;0,29;0,21;A > 0.5 T;Banyak;Ada;Ada;6;ENTOMOBRYOMORPHA
10;2,9;1,01;0,53;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
11;1,2;0,28;0,2;A > 0.5 T;Sedikit;Ada;Ada;8;PODUROMORPHA
12;0,79;0,2;0,16;A > 0.5 T;Banyak;Ada;Ada;6;ENTOMOBRYOMORPHA
13;0,92;0,25;0,19;A > 0.5 T;Banyak;Ada;Ada;6;ENTOMOBRYOMORPHA
14;1;0,27;0,16;A > 0.5 T;Sedikit;Ada;Tidak ada;0;PODUROMORPHA
15;0,91;0,16;0,15;A > 0.5 T;Banyak;Ada;Ada;0;PODUROMORPHA
16;1,02;0,23;0,19;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
17;0,76;0,2;0,16;A > 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
18;0,97;0,29;0,18;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
19;2,65;0,6;0,47;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
20;0,76;0,23;0,17;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
21;1,57;0,37;0,29;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
22;0,88;0,18;0,15;A > 0.5 T;Sedikit;Ada;Tidak ada;0;PODUROMORPHA
23;0,91;0,26;0,18;A > 0.5 T;Banyak;Ada;Ada;6;ENTOMOBRYOMORPHA
24;0,91;0,26;0,2;A > 0.5 T;Banyak;Ada;Ada;6;ENTOMOBRYOMORPHA
25;0,76;0,21;0,18;A > 0.5 T;Banyak;Ada;Ada;4;ENTOMOBRYOMORPHA
26;0,87;0,09;0,15;A < 0.5 T;Banyak;Ada;Ada;6;ENTOMOBRYOMORPHA
27;0,23;0,15;0,05;A > 0.5 T;Banyak;Ada;Ada;8;SYMPHYPLEONA
28;0,5;0,13;0,09;A > 0.5 T;Banyak;Ada;Ada;8;PODUROMORPHA
29;0,78;0,07;0,15;A < 0.5 T;Banyak;Ada;Ada;0;ENTOMOBRYOMORPHA
30;0,9;0,21;0,2;A > 0.5 T;Banyak;Ada;Ada;8;ENTOMOBRYOMORPHA
31;1,1;0,18;0,21;A < 0.5 T;Banyak;Ada;Ada;3;ENTOMOBRYOMORPHA
32;0,97;0,27;0,18;A > 0.5 T;Banyak;Ada;Ada;6;ENTOMOBRYOMORPHA
33;0,83;0,1;0,17;A < 0.5 T;Sedikit;Ada;Ada;4;ENTOMOBRYOMORPHA
